Unique_ID,Views
562546,267680.0
907584,38324.33
213013,29071.014
340312,37889.203
41854,4622.2017
1031846,11489.264
627446,7909.2017
1509777,20857.139
1270147,5474.389
1486926,32251.357
1531251,9739.764
815124,59459.266
249451,6064.5767
175341,292.51398
414494,13526.451
1359461,264920.44
915524,113877.89
564000,23962.951
502883,20799.514
463894,141743.61
1322104,5672.514
1275829,79502.95
702263,38331.516
429960,245629.92
510431,183551.05
1510154,8929.014
1418308,114665.05
1486991,58000.453
597052,725.764
1243523,22863.576
429825,4738842.5
97876,78403.8
189337,765374.25
705343,51275.734
1371290,174458.83
554743,99059.17
350161,20760.639
258352,-712.9235
1120309,4149.8267
386149,33624.766
1280826,19313.826
539369,-4976.1733
661712,24870.451
53279,6225.2017
959595,1021.0765
452568,27004.17
899592,-145.42351
631419,246075.02
119584,29549.67
348009,-12798.924
450566,744714.1
349031,265348.16
245867,24572.576
294428,23619.951
168771,9586.326
1428142,2315247.5
34950,2424723.8
1431903,6737.889
1376906,2805090.5
1144121,12041.951
502832,9654.139
256091,575086.1
1103389,13790.326
521855,294306.3
1493571,33.013992
657114,2637838.2
1322703,48973.047
494786,776615.4
1103586,164017.27
183526,86055.95
1286452,17578.889
583424,9586.326
507817,35776.08
1392789,-7033.986
175481,13612.576
1483773,-14753.486
1432315,21051.764
446579,257583.08
138347,16420.076
1371984,44167.953
186601,24046.045
220820,49110.766
1393077,-68.54851
251576,38381.484
953499,-215.04851
1120144,5169.5767
1322092,7404.639
900180,5733.639
809287,13876.451
242061,6148.139
574873,17902.701
99487,19229.139
1007024,69799.016
914728,227335.8
1194347,2102486.8
212807,13392.951
491788,23493.357
1059576,55990.11
914717,296186.84
75884,871.5765
661725,25074.826
385629,7649.514
1322626,19287.451
76253,8111.0767
50448,45564.047
915230,361738.12
66226,21101.576
574473,52953.484
53238,4036.639
1419415,128898.45
604337,7091.264
1364839,137308.11
530046,13842.201
539628,395.26398
809244,41068.39
1393251,205.45149
1533167,31048.045
353394,126577.484
403287,12269.514
598182,8008.9517
631425,698634.25
1173922,31912.732
706792,78012.89
1279333,60644.297
13828,29352.232
973186,31446.139
624184,625487.75
1492775,167468.17
1485815,76699.64
327051,395.26398
963067,530668.9
433398,-3486.111
539272,-6570.1733
502718,8223.514
1286523,145291.92
1137046,106672.45
1087012,1679.0765
571750,31193.857
119612,19774.639
1189088,3501.514
407477,4049.139
452490,7759.9517
1457438,39714.86
1415127,5880.8267
312917,24690.639
175557,27602.014
212399,7977.9517
175555,48973.734
1286903,355537.38
816036,287097.16
186623,36665.08
574215,160437.45
662021,7994.639
1499529,49170.234
82239,32853.58
31691,45748.047
492824,12102.389
92262,44422.766
1102766,4049.139
213070,5356.139
477976,325516.9
1431907,13772.514
463803,97851.7
414408,23964.107
661706,30653.67
499446,114531.05
221273,4799.9517
707425,102575.58
1079613,4319.7017
404,105429.33
1078082,485718.12
1568418,-626.7985
1073748,196798.02
251703,11072.889
381158,29173.076
557592,47419864.0
193380,-9747.736
1432800,111062.55
907897,3102.9514
354947,896280.6
237118,56163.92
152758,6387.4517
493810,52944.234
1518944,842093.9
1188220,725.764
1237006,223634.92
1114356,-8035.9233
622615,9654.139
915359,218795.11
265086,9586.326
237095,67436.39
1110349,368323.75
1431788,-6708.111
1286900,22438524.0
706129,16432.076
1280876,2615.0764
1189609,304826.34
1196906,60585.516
53013,12795.326
47906,1303196.6
1032393,9746.014
1432597,27198.826
707077,290452.7
433431,10384.826
47931,4419842.0
706068,-5563.1733
193235,41188.047
1487055,248304.33
1425299,1389508.8
134925,37749.64
539581,5590.139
1368123,34038.36
1384311,-3225.986
97770,14958.701
962858,246823.98
963177,685914.75
175650,27971.857
172309,11660.076
599712,881628.9
574999,12062.326
1229299,-4135.7983
684972,1118109.9
1360087,42160.83
311870,28907.17
327285,3861.4514
1393396,205.45149
914755,147918.17
1462798,48400.453
1173902,20459.951
477952,12889.514
1287285,7401.889
1211976,94589.45
539873,978.014
1271657,19010.389
1286762,120852.36
694861,124827.95
1315847,-5997.111
1528564,243594.58
705305,-34.298508
110259,115492.266
706576,2731.9514
327239,82117.39
106037,172879.67
618646,11051.139
414817,33823.11
385940,23191.545
386200,8482.514
66247,47055.734
154387,38641.64
907904,303336.97
557152,71238.14
627346,8929.014
92570,1031690.9
1137059,35929.547
254351,-13937.174
322325,72648.14
142065,37463.33
1428045,54223.92
816028,125151.984
631590,3902574.2
539659,395.26398
1053929,7887.7017
125127,-6570.1733
1079475,10331.326
1064671,19.826492
1557630,-364.11102
1144197,429.51398
66437,14411.764
574497,17902.701
386118,4477.0767
386870,280920.72
1487024,28766.889
108455,40766.58
237099,122788.2
13837,31149.201
415040,38324.33
386699,16253.889
1103210,7225.0767
52783,285514.75
212650,15704.201
706920,41804.17
1144666,41181.11
327443,7515.514
192810,99393.17
1079492,11843.639
1489474,86708.17
539653,5590.139
191334,131263.14
1143854,86510.734
631691,123270.08
429918,246877.2
111189,63007.14
816652,235687.36
1488459,2177198.0
1017966,147177.55
40112,6629.5767
1493720,29035.139
1489377,725689.56
13816,20518.514
21523,5798922.0
1089717,-5146.986
141969,14727.701
955243,82511.08
657147,28589486.0
1363628,8181.889
355030,902235.9
963194,302435.25
459196,32096.295
816723,111719.89
1562331,4049.139
512209,7801.5767
14010,50495.266
1031587,7331.3267
314544,-1832.6735
1432525,16826.951
706459,25582.857
247438,20368.764
574615,405021.3
1414685,1235950.2
1211660,66128.92
1508129,4657.139
1031662,1032.4515
446404,725.764
188412,6629.5767
1432050,25977.264
13880,144008.55
1380604,-3651.4236
76057,8111.0767
1322621,5556.764
624194,371248.1
1470348,39382.734
76058,8111.0767
1518991,46881.67
914966,175238.83
678660,20045.201
212645,15704.201
691766,118160.17
1452688,32346.701
13757,12622.701
1410411,88996.95
1322727,19287.451
165656,27389.764
814992,42392.734
1533394,23782.42
236407,-4796.611
75968,60948.42
1262403,47916.484
978528,5169.5767
943704,42564.016
706392,1499.7015
112616,46035.266
1176724,140378.3
251596,31401.232
354969,1167555.8
1393058,-68.54851
446796,57287.61
1522321,38080.39
492707,14192.576
1031883,2214.889
983390,265741.88
352717,27318.045
1243578,57661.14
660073,16527.701
517622,213218.58
1114694,10340.139
1505187,2454553.5
1237360,725.764
386664,2779069.8
294612,45210.86
1279319,682186.25
346973,100741.8
309699,90080.36
526602,8419.826
1362708,9887.201
557157,21334.826
513016,615787.2
154259,39661.42
599833,11149.764
1196912,85549.08
463637,21390.889
583412,9586.326
1072899,-1559.361
387040,72242.17
913572,29101.795
1322113,30683.295
213016,10392.639
592924,188443.17
1465344,70866.67
386951,27706.639
118288,21470.951
458105,18638026.0
221187,15318.326
1393127,-136.36101
698563,67426.67
531179,112952.58
172392,22871.451
1510157,40199.08
972848,9741.139
915163,196847.3
1119941,4895.514
14374,12782.826
1072913,29068.232
97893,361442.56
1379129,92624.67
281149,38679.36
499420,171698.36
532437,29783.201
407461,4049.139
567181,80787.95
51569,74784.17
1428249,8786.201
115659,4049.139
978699,4149.8267
381922,272518.66
1286551,184876.33
705734,4869.139
1392938,-3093.111
263314,725.764
1204880,6629.5767
1550868,-1354.736
1483769,-681.236
269032,9085.701
972813,13850.514
251664,13959.076
559313,4220216.5
809547,-725.861
1110272,277558.0
1229384,129721.234
1562278,4049.139
1032099,4031.764
293537,353936.47
1259296,725.764
407783,164257.3
815321,75947.67
815583,203732.2
604235,7091.264
1142328,56497.89
631621,49104.734
